season,lg_total_rec_yards,lg_total_rec_tds,lg_player_weeks,lg_ypg,lg_tdpg
2006,92507.0,587,2396,38.60893155258765,0.24499165275459098
2007,97264.0,659,2479,39.23517547398144,0.2658329971762808
2008,95145.0,552,2450,38.83469387755102,0.2253061224489796
2009,98932.0,627,2747,36.014561339643244,0.22824899890789951
2010,101102.0,675,2820,35.85177304964539,0.2393617021276596
2011,105916.0,673,2916,36.32235939643347,0.23079561042524005
2012,107528.0,689,2937,36.61150834184542,0.23459312223357168
2013,108905.0,717,2870,37.94599303135889,0.24982578397212543
2014,108184.0,699,2955,36.61049069373942,0.2365482233502538
2015,110485.0,733,2969,37.212866284944425,0.24688447288649376
2016,110341.0,684,3017,36.57308584686775,0.22671528007954922
2017,100069.0,633,3023,33.10254713860404,0.20939464108501488
2018,108051.0,720,3018,35.80218687872763,0.23856858846918488
2019,107437.0,684,3014,35.64598540145985,0.22694094226940942
2020,111573.0,763,3091,36.096085409252666,0.2468456810093821
2021,112049.0,723,3264,34.32873774509804,0.22150735294117646
2022,108221.0,650,3221,33.598571872089416,0.20180068301769638
2023,110389.0,659,3286,33.59373097991479,0.20054777845404748
2024,109069.0,715,3220,33.87236024844721,0.2220496894409938
