qb_id,qb_name,qualifying_receivers,ypg_highs,tdpg_highs,ypg_lows,tdpg_lows,expected_equal,expected_seasons,elev_ypg_oe,elev_tdpg_oe,elev_blended,depr_ypg_oe,depr_tdpg_oe,depr_blended,net_ypg,net_tdpg,net_blended,yards_rate,td_rate,career_starts
00-0021206,Josh McCown,19,6,5,1,3,4.542857142857143,3.3642857142857143,1.78343949044586,1.4861995753715498,1.634819532908705,0.29723991507430997,0.89171974522293,0.5944798301486199,1.48619957537155,0.5944798301486198,1.0403397027600851,0.3157894736842105,0.2631578947368421,52
00-0010346,Peyton Manning,17,9,11,5,3,5.153968253968253,6.354112554112554,1.4164055048371713,1.7311622836898761,1.5737838942635238,0.7868919471317618,0.4721351682790571,0.6295135577054094,0.6295135577054095,1.259027115410819,0.9442703365581144,0.5294117647058824,0.6470588235294118,134
00-0022803,Eli Manning,22,10,16,5,5,7.383333333333333,8.83968253968254,1.1312623451247978,1.8100197521996766,1.4706410486622372,0.5656311725623989,0.5656311725623989,0.5656311725623989,0.5656311725623989,1.2443885796372776,0.9050098760998383,0.45454545454545453,0.7272727272727273,210
00-0026197,Chad Henne,12,4,5,1,2,3.427380952380952,3.404227145403616,1.1750097244247628,1.4687621555309536,1.3218859399778582,0.2937524311061907,0.5875048622123814,0.440628646659286,0.881257293318572,0.8812572933185722,0.8812572933185722,0.3333333333333333,0.4166666666666667,55
00-0020531,Drew Brees,25,16,12,7,6,7.902777777777778,10.601037851037852,1.509286187336232,1.131964640502174,1.320625413919203,0.6603127069596014,0.565982320251087,0.6131475136053441,0.8489734803766306,0.565982320251087,0.7074779003138589,0.64,0.48,226
00-0034857,Josh Allen,15,5,6,3,2,3.9706349206349207,4.358730158730159,1.1471230881281864,1.3765477057538236,1.261835396941005,0.6882738528769118,0.4588492352512745,0.5735615440640931,0.45884923525127463,0.917698470502549,0.6882738528769119,0.3333333333333333,0.4,108
00-0036355,Justin Herbert,10,4,1,1,1,2.5166666666666666,2.3664141414141415,1.6903212037135844,0.4225803009283961,1.0564507523209903,0.4225803009283961,0.4225803009283961,0.4225803009283961,1.2677409027851883,0.0,0.6338704513925941,0.4,0.1,78
00-0023460,Jason Campbell,15,5,7,2,4,4.35,4.94563492063492,1.0109925379122202,1.4153895530771083,1.2131910454946642,0.4043970151648881,0.8087940303297761,0.6065955227473321,0.6065955227473321,0.6065955227473322,0.6065955227473321,0.3333333333333333,0.4666666666666667,76
00-0031503,Jameis Winston,21,10,7,5,5,5.844444444444444,6.033730158730159,1.657349556067083,1.1601446892469582,1.4087471226570205,0.8286747780335415,0.8286747780335415,0.8286747780335415,0.8286747780335415,0.33146991121341673,0.580072344623479,0.47619047619047616,0.3333333333333333,86
00-0022924,Ben Roethlisberger,21,11,12,7,6,7.088888888888889,8.940512265512265,1.230354556128975,1.3422049703225183,1.2862797632257466,0.7829528993548024,0.6711024851612591,0.7270276922580308,0.44740165677417265,0.6711024851612591,0.5592520709677158,0.5238095238095238,0.5714285714285714,222
